build_id,applicability_prediction,observed_applicability,action,current_quadrant,proposed_quadrant,current_concurrency,proposed_concurrency,current_iterations,proposed_iterations,current_response_time,proposed_response_time,human_approval_required,online_validation_status,rationale
441156,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
441156,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
441156,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
441525,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
441525,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
441525,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
441525,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
441525,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
442366,applies,applies,upgrade,5,5,medium,medium,medium,medium,medium,medium,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
442366,applies,applies,upgrade,5,5,medium,medium,medium,medium,medium,medium,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
442366,applies,applies,upgrade,5,5,medium,medium,medium,medium,medium,medium,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
442366,applies,applies,upgrade,5,5,medium,medium,medium,medium,medium,medium,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
442366,applies,applies,upgrade,,4,,very_low,,low,,medium,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
467724,applies,not_applies,maintain,4,4,low,low,low,low,medium,medium,False,not_required,The current configuration applies without sufficient upgrade evidence.
462067,applies,applies,maintain,4,4,low,low,low,low,medium,medium,False,not_required,The current configuration applies without sufficient upgrade evidence.
462067,applies,applies,maintain,9,9,high,high,high,high,high,high,False,not_required,The current configuration applies without sufficient upgrade evidence.
462067,applies,applies,maintain,4,4,low,low,low,low,medium,medium,False,not_required,The current configuration applies without sufficient upgrade evidence.
462067,applies,applies,upgrade,1,4,low,low,low,low,low,medium,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
463266,not_applies,not_applies,review,2,2,medium,medium,low,low,low,low,True,not_required,The model predicts that the executed configuration does not apply.
462811,not_applies,applies,review,4,4,low,low,low,low,medium,medium,True,not_required,The model predicts that the executed configuration does not apply.
462811,not_applies,applies,review,4,4,low,low,low,low,medium,medium,True,not_required,The model predicts that the executed configuration does not apply.
462811,not_applies,applies,review,4,4,very_low,very_low,low,low,medium,medium,True,not_required,The model predicts that the executed configuration does not apply.
462067,not_applies,not_applies,review,1,1,low,low,low,low,low,low,True,not_required,The model predicts that the executed configuration does not apply.
462262,applies,applies,upgrade,9,9,high,high,medium,medium,very_high,very_high,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
463266,not_applies,not_applies,review,2,2,medium,medium,low,low,low,low,True,not_required,The model predicts that the executed configuration does not apply.
462067,not_applies,not_applies,review,7,7,low,low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
462067,not_applies,not_applies,review,4,4,low,low,low,low,medium,medium,True,not_required,The model predicts that the executed configuration does not apply.
462262,applies,applies,upgrade,9,9,high,high,medium,medium,very_high,very_high,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
462262,applies,applies,upgrade,9,9,high,high,high,high,low,medium,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
465494,not_applies,not_applies,review,4,4,very_low,very_low,low,low,medium,medium,True,not_required,The model predicts that the executed configuration does not apply.
467314,not_applies,not_applies,review,2,2,medium,medium,low,low,low,low,True,not_required,The model predicts that the executed configuration does not apply.
466898,not_applies,applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
467314,not_applies,not_applies,review,2,2,medium,medium,low,low,low,low,True,not_required,The model predicts that the executed configuration does not apply.
466898,not_applies,applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
466898,not_applies,applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
467314,not_applies,not_applies,review,2,2,medium,medium,low,low,low,low,True,not_required,The model predicts that the executed configuration does not apply.
481677,applies,applies,maintain,4,4,very_low,very_low,low,low,medium,medium,False,not_required,The current configuration applies without sufficient upgrade evidence.
481164,applies,applies,maintain,4,4,low,low,low,low,medium,medium,False,not_required,The current configuration applies without sufficient upgrade evidence.
481164,applies,applies,upgrade,4,4,low,low,low,low,medium,medium,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
481164,applies,applies,upgrade,4,4,low,low,low,low,medium,medium,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
481164,applies,applies,upgrade,4,4,low,low,low,low,medium,medium,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
481624,applies,applies,upgrade,4,7,very_low,very_low,low,low,medium,high,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
481624,applies,applies,upgrade,4,7,very_low,very_low,low,low,medium,high,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
481624,applies,applies,upgrade,4,7,very_low,very_low,low,low,medium,high,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
481624,applies,applies,maintain,7,7,low,low,medium,medium,high,high,False,not_required,The current configuration applies without sufficient upgrade evidence.
481624,applies,applies,upgrade,7,7,very_low,very_low,low,low,high,high,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
481624,not_applies,not_applies,review,7,7,low,low,medium,medium,high,high,True,not_required,The model predicts that the executed configuration does not apply.
481624,not_applies,not_applies,review,7,7,low,low,medium,medium,high,high,True,not_required,The model predicts that the executed configuration does not apply.
481624,not_applies,not_applies,review,7,7,low,low,medium,medium,high,high,True,not_required,The model predicts that the executed configuration does not apply.
481624,applies,not_applies,maintain,4,4,very_low,very_low,low,low,medium,medium,False,not_required,The current configuration applies without sufficient upgrade evidence.
481624,applies,not_applies,maintain,4,4,very_low,very_low,low,low,medium,medium,False,not_required,The current configuration applies without sufficient upgrade evidence.
482366,applies,applies,upgrade,7,7,very_low,very_low,medium,medium,high,high,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
482922,not_applies,not_applies,review,4,4,very_low,very_low,low,low,medium,medium,True,not_required,The model predicts that the executed configuration does not apply.
482922,not_applies,not_applies,review,4,4,very_low,very_low,low,low,medium,medium,True,not_required,The model predicts that the executed configuration does not apply.
481677,applies,not_applies,maintain,4,4,very_low,very_low,low,low,medium,medium,False,not_required,The current configuration applies without sufficient upgrade evidence.
481677,applies,not_applies,maintain,4,4,very_low,very_low,low,low,medium,medium,False,not_required,The current configuration applies without sufficient upgrade evidence.
481579,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
483042,not_applies,not_applies,review,7,7,very_low,very_low,low,low,high,high,True,not_required,The model predicts that the executed configuration does not apply.
481677,applies,applies,maintain,4,4,very_low,very_low,low,low,medium,medium,False,not_required,The current configuration applies without sufficient upgrade evidence.
481677,applies,applies,maintain,4,4,very_low,very_low,low,low,medium,medium,False,not_required,The current configuration applies without sufficient upgrade evidence.
481677,applies,not_applies,maintain,4,4,very_low,very_low,low,low,medium,medium,False,not_required,The current configuration applies without sufficient upgrade evidence.
482017,applies,applies,maintain,4,4,low,low,low,low,medium,medium,False,not_required,The current configuration applies without sufficient upgrade evidence.
459745,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
461673,applies,applies,maintain,7,7,low,low,low,low,very_high,very_high,False,not_required,The current configuration applies without sufficient upgrade evidence.
461673,applies,applies,upgrade,7,7,very_low,very_low,low,low,very_high,very_high,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
461673,applies,not_applies,maintain,7,7,low,low,low,low,very_high,very_high,False,not_required,The current configuration applies without sufficient upgrade evidence.
442366,applies,applies,upgrade,,4,,very_low,,low,,medium,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
442366,applies,applies,upgrade,9,9,high,high,low,low,high,high,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
443266,applies,applies,upgrade,1,1,very_low,very_low,low,low,low,low,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
442366,applies,applies,upgrade,9,9,high,high,low,low,high,high,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
442366,applies,not_applies,maintain,5,5,medium,medium,medium,medium,medium,medium,False,not_required,The current configuration applies without sufficient upgrade evidence.
443266,applies,applies,upgrade,1,1,very_low,very_low,low,low,low,low,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
442366,applies,applies,upgrade,5,5,medium,medium,medium,medium,medium,medium,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
442366,applies,applies,upgrade,5,5,medium,medium,medium,medium,medium,medium,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
442366,applies,applies,upgrade,9,9,very_high,very_high,high,high,low,medium,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
442366,applies,applies,upgrade,5,5,medium,medium,medium,medium,medium,medium,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
442366,applies,applies,upgrade,,4,,very_low,,low,,medium,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
442366,applies,applies,upgrade,5,5,medium,medium,medium,medium,medium,medium,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
442366,applies,applies,upgrade,5,5,medium,medium,medium,medium,medium,medium,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
446392,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
446392,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
446392,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
446392,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
446392,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
446392,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
447155,applies,not_applies,maintain,4,4,low,low,low,low,medium,medium,False,not_required,The current configuration applies without sufficient upgrade evidence.
447155,applies,not_applies,maintain,1,1,very_low,very_low,low,low,low,low,False,not_required,The current configuration applies without sufficient upgrade evidence.
447155,applies,not_applies,maintain,7,7,very_low,very_low,medium,medium,very_high,very_high,False,not_required,The current configuration applies without sufficient upgrade evidence.
447155,applies,applies,upgrade,1,1,very_low,very_low,low,low,low,low,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
493813,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
493813,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
493813,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
493813,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
465135,not_applies,applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
465135,not_applies,applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
465479,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
465479,not_applies,not_applies,review,7,7,low,low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
467314,not_applies,not_applies,review,2,2,medium,medium,low,low,low,low,True,not_required,The model predicts that the executed configuration does not apply.
465479,applies,applies,upgrade,7,7,very_low,low,low,low,very_high,very_high,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
465479,applies,not_applies,maintain,7,7,low,low,low,low,very_high,very_high,False,not_required,The current configuration applies without sufficient upgrade evidence.
465479,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
465479,not_applies,not_applies,review,7,7,low,low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
465500,not_applies,not_applies,review,,,,,,,,,True,not_required,The model predicts that the executed configuration does not apply.
465500,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
465500,not_applies,not_applies,review,4,4,very_low,very_low,low,low,medium,medium,True,not_required,The model predicts that the executed configuration does not apply.
465135,not_applies,applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
465135,not_applies,applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
454448,applies,applies,upgrade,7,7,very_low,very_low,low,low,very_high,very_high,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
454448,applies,applies,upgrade,7,7,low,low,low,low,very_high,very_high,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
454448,applies,applies,upgrade,7,7,low,low,low,low,very_high,very_high,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
458950,applies,applies,upgrade,4,4,low,low,low,low,medium,medium,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
458950,applies,applies,maintain,4,4,low,low,low,low,medium,medium,False,not_required,The current configuration applies without sufficient upgrade evidence.
458950,applies,applies,upgrade,4,4,low,low,low,low,medium,medium,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
458950,applies,applies,upgrade,4,4,low,low,low,low,medium,medium,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
458950,applies,applies,maintain,4,4,low,low,low,low,medium,medium,False,not_required,The current configuration applies without sufficient upgrade evidence.
458950,applies,applies,upgrade,4,4,low,low,low,low,medium,medium,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
458950,applies,applies,upgrade,4,4,low,low,low,low,medium,medium,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
458950,applies,not_applies,maintain,4,4,low,low,low,low,medium,medium,False,not_required,The current configuration applies without sufficient upgrade evidence.
459470,applies,applies,maintain,4,4,very_low,very_low,low,low,medium,medium,False,not_required,The current configuration applies without sufficient upgrade evidence.
447206,applies,not_applies,maintain,7,7,very_low,very_low,low,low,very_high,very_high,False,not_required,The current configuration applies without sufficient upgrade evidence.
447206,applies,not_applies,maintain,7,7,very_low,very_low,low,low,very_high,very_high,False,not_required,The current configuration applies without sufficient upgrade evidence.
447206,applies,not_applies,maintain,7,7,very_low,very_low,low,low,very_high,very_high,False,not_required,The current configuration applies without sufficient upgrade evidence.
447206,applies,not_applies,maintain,7,7,very_low,very_low,low,low,very_high,very_high,False,not_required,The current configuration applies without sufficient upgrade evidence.
447206,applies,not_applies,maintain,7,7,very_low,very_low,low,low,very_high,very_high,False,not_required,The current configuration applies without sufficient upgrade evidence.
447206,applies,not_applies,maintain,7,7,very_low,very_low,low,low,very_high,very_high,False,not_required,The current configuration applies without sufficient upgrade evidence.
447585,applies,applies,upgrade,1,1,very_low,very_low,low,low,low,low,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
447585,applies,applies,upgrade,1,1,very_low,very_low,low,low,low,low,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
447585,applies,applies,upgrade,1,1,very_low,very_low,low,low,low,low,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
447585,applies,applies,upgrade,1,1,very_low,very_low,low,low,low,low,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
447585,applies,applies,upgrade,1,1,very_low,very_low,low,low,low,low,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
447585,applies,applies,upgrade,4,4,low,low,low,low,medium,medium,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
447585,applies,applies,upgrade,1,1,very_low,very_low,low,low,low,low,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
447585,applies,applies,upgrade,7,7,very_low,very_low,medium,medium,very_high,very_high,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
447470,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
447974,not_applies,not_applies,review,2,2,medium,medium,low,low,low,low,True,not_required,The model predicts that the executed configuration does not apply.
447585,applies,applies,upgrade,7,7,very_low,very_low,medium,medium,very_high,very_high,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
447585,applies,applies,upgrade,1,1,very_low,very_low,low,low,low,low,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
447585,applies,applies,upgrade,1,1,very_low,very_low,low,low,low,low,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
447585,applies,applies,upgrade,6,6,high,high,medium,medium,medium,medium,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
447650,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
447840,applies,applies,maintain,7,7,very_low,very_low,low,low,high,high,False,not_required,The current configuration applies without sufficient upgrade evidence.
447643,applies,not_applies,maintain,7,7,very_low,very_low,high,high,medium,medium,False,not_required,The current configuration applies without sufficient upgrade evidence.
447643,applies,not_applies,maintain,7,7,very_low,very_low,high,high,medium,medium,False,not_required,The current configuration applies without sufficient upgrade evidence.
447643,applies,not_applies,maintain,7,7,very_low,very_low,high,high,medium,medium,False,not_required,The current configuration applies without sufficient upgrade evidence.
447643,applies,not_applies,maintain,7,7,very_low,very_low,high,high,medium,medium,False,not_required,The current configuration applies without sufficient upgrade evidence.
447643,not_applies,not_applies,review,7,7,low,low,high,high,medium,medium,True,not_required,The model predicts that the executed configuration does not apply.
447643,not_applies,not_applies,review,7,7,low,low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
447643,not_applies,not_applies,review,7,7,low,low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
447974,not_applies,not_applies,review,2,2,medium,medium,low,low,low,low,True,not_required,The model predicts that the executed configuration does not apply.
448741,applies,applies,upgrade,7,8,low,medium,medium,medium,high,high,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
460295,applies,applies,upgrade,4,7,very_low,very_low,low,low,medium,high,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
470347,not_applies,not_applies,review,2,2,medium,medium,low,low,low,low,True,not_required,The model predicts that the executed configuration does not apply.
470347,not_applies,applies,review,2,2,medium,medium,low,low,low,low,True,not_required,The model predicts that the executed configuration does not apply.
470347,not_applies,applies,review,2,2,medium,medium,low,low,low,low,True,not_required,The model predicts that the executed configuration does not apply.
470347,not_applies,applies,review,2,2,medium,medium,low,low,low,low,True,not_required,The model predicts that the executed configuration does not apply.
470035,applies,applies,upgrade,4,4,very_low,very_low,low,low,medium,medium,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
470347,not_applies,not_applies,review,2,2,medium,medium,low,low,low,low,True,not_required,The model predicts that the executed configuration does not apply.
470347,not_applies,not_applies,review,1,1,very_low,very_low,low,low,low,low,True,not_required,The model predicts that the executed configuration does not apply.
470347,not_applies,not_applies,review,2,2,medium,medium,low,low,low,low,True,not_required,The model predicts that the executed configuration does not apply.
470347,not_applies,not_applies,review,2,2,medium,medium,low,low,low,low,True,not_required,The model predicts that the executed configuration does not apply.
470347,not_applies,not_applies,review,2,2,medium,medium,low,low,low,low,True,not_required,The model predicts that the executed configuration does not apply.
457067,applies,not_applies,maintain,4,4,very_low,very_low,low,low,medium,medium,False,not_required,The current configuration applies without sufficient upgrade evidence.
457067,applies,not_applies,maintain,4,4,very_low,very_low,low,low,medium,medium,False,not_required,The current configuration applies without sufficient upgrade evidence.
457440,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
457440,not_applies,not_applies,review,,,,,,,,,True,not_required,The model predicts that the executed configuration does not apply.
457440,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
457440,not_applies,not_applies,review,4,4,very_low,very_low,low,low,medium,medium,True,not_required,The model predicts that the executed configuration does not apply.
477013,applies,not_applies,maintain,7,7,low,low,low,low,very_high,very_high,False,not_required,The current configuration applies without sufficient upgrade evidence.
477013,applies,not_applies,maintain,7,7,low,low,low,low,very_high,very_high,False,not_required,The current configuration applies without sufficient upgrade evidence.
477013,applies,not_applies,maintain,8,8,medium,medium,medium,medium,high,high,False,not_required,The current configuration applies without sufficient upgrade evidence.
477013,applies,not_applies,maintain,8,8,medium,medium,medium,medium,high,high,False,not_required,The current configuration applies without sufficient upgrade evidence.
476874,applies,applies,upgrade,7,8,low,medium,medium,medium,high,high,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
477013,applies,not_applies,maintain,8,8,medium,medium,medium,medium,high,high,False,not_required,The current configuration applies without sufficient upgrade evidence.
476874,applies,applies,upgrade,4,7,very_low,very_low,low,low,medium,high,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
476874,applies,applies,upgrade,4,7,very_low,very_low,low,low,medium,high,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
476874,applies,applies,upgrade,4,7,very_low,very_low,low,low,medium,high,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
476874,applies,applies,maintain,7,7,low,low,medium,medium,high,high,False,not_required,The current configuration applies without sufficient upgrade evidence.
476874,applies,applies,upgrade,7,7,very_low,very_low,low,low,high,high,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
456035,not_applies,not_applies,review,4,4,very_low,very_low,low,low,medium,medium,True,not_required,The model predicts that the executed configuration does not apply.
